BreedingSite,Site_code,LU,Round,Season,Latitude,Longitude,Date_time,Water_temp,Air_temp,Humidity,Wind,Weather,Dimensions,dim1,dim2,Dimension,Dimension_cat,Habitat_class,Habitat_description,Current,WaterReservoir_material,BottomLayer,BottomLayer_cat,BottomLayer_cat2,BottomLayer_Leaves,BottomLayer_Mud,BottomLayer_Rocks/gravels,BottomLayer_Other,Depth,Edges,Turbidity,Pollution,Pollution_cat,Pollution_cat2,Pollution_Plastic/rubbish,Pollution_debris,Pollution_oil,Pollution_AnimalFaeces,Pollution_other,Water_colour,Shading,LandUse_village,LandUse_plantations,LandUse_fields,LandUse_forest,LandUse_fields_cassava,LandUse_fields_rice,LandUse_fields_vacant,LandUse_plantations_cashew,LandUse_plantations_rubber,LandUse_plantations_banana,Vegetation,Vegetation_cat,Vegetation_cat2,Vegetation_submerged,Vegetation_emerged,Vegetation_floating,Vegetation_algae,VegetationSurface,Predators,Predators_cat,Predators_cat2,Predators_Coleoptera,Predators_Hemiptera,Predators_Odonata,Predators_Crustacean,Predators_MsqLarvae,Predators_Fish,Predators_other,Predators_Coleoptera_Dysticidae,Predators_Coleoptera_Hydrophilidae,Predators_Hemiptera_Notonectae,Predators_Hemiptera_Corixidae,Predators_Hemiptera_Nepidae,Predators_Hemiptera_unidentified,Predators_Hemiptera_other,Predators_Odonata_Dragonflies,Predators_Odonata_Damselflies,Predators_Odonata_unidentified,Predators_Odonata_other,Predators_Crustacean_Cyclopoids,Predators_MsqLarvae_Toxorynchites,Predators_other_1,Animals,Animals_amphibian,Animals_domestic,Animals_other,VisiblePeople,Remarks,Mosquito,Unidentified,NonAnopheles,NonAnopheles_genus,NonAnopheles_genus2,Aedes,Armigeres,Culex,Malaya,Tripteroides,Anopheles,Anopheles_SppNb,Anopheles_barbirostris,Anopheles_hyrcanus,Anopheles_indefinitus,Anopheles_jamesii,Anopheles_kochi,Anopheles_maculatus,Anopheles_nivipes,Anopheles_philippinensis,Anopheles_pyretophorus,Anopheles_subpictus,Anopheles_unidentified,Anopheles_vagus
FIL01-G032,FIL01,fields,4,Rainy,12.19255556,106.8061667,06/08/2020 10:18,26.9,30.2,86.3,Little,Cloudy,17*22,17,22,374,Small,Natural containers,Bamboo holes,NA,NA,No,None,None,No,No,No,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Partial,No,Yes,No,No,Yes,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,1,0,1,Aedes,Aedes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL01-G037,FIL01,fields,4,Rainy,12.19261111,106.80625,06/08/2020 11:34,27.6,28.6,78.9,Little,Cloudy,120*3,120,3,360,Small,Natural containers,Tree holes,NA,NA,No,None,None,No,No,No,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Partial,No,Yes,No,No,Yes,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,1,0,1,Aedes,Aedes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL01-G038,FIL01,fields,4,Rainy,12.19261111,106.80625,06/08/2020 11:46,28.2,28.4,81.2,Medium,Rainy,21*4,21,4,84,VerySmall,Natural containers,Tree holes,NA,NA,No,None,None,No,No,No,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,None,No,Yes,No,No,Yes,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,1,0,1,Aedes,Aedes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL01-G041,FIL01,fields,4,Rainy,12.19261111,106.80625,06/08/2020 12:04,26.8,28.9,89.9,Medium,Rainy,50*3,50,3,150,Small,Natural containers,Tree holes,NA,NA,No,None,None,No,No,No,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Partial,No,Yes,No,No,Yes,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,1,0,1,Aedes,Aedes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL01-G042,FIL01,fields,4,Rainy,12.19261111,106.80625,06/08/2020 12:09,27,28.6,92.2,Medium,Rainy,18*5,18,5,90,VerySmall,Natural containers,Tree holes,NA,NA,No,None,None,No,No,No,No,Shallow,Shallow,Medium,No,None,None,No,No,No,No,No,Transparent,Partial,No,Yes,No,No,Yes,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,1,0,1,Aedes,Aedes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V05-G037,V05,village,4,Rainy,12.1886778,106.8424902,10/08/2020 11:09,27.5,33.2,NA,Little,Cloudy,5*5,5,5,25,VerySmall,Artificial containers,Cans,NA,NA,No,None,None,No,No,No,No,Shallow,Abrupt,Little,No,None,None,No,No,No,No,No,Transparent,Partial,Yes,No,No,No,No,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Few,NA,1,0,1,Aedes,Aedes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL01-G070,FIL01,fields,4,Rainy,12.1914628,106.8050424,06/08/2020 11:46,28,28.4,84.1,Little,Rainy,150*20,150,20,3000,Medium,Natural containers,Tree holes,NA,NA,Yes,None,None,No,No,No,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Partial,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Odonata,Odonata,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Leech,No,NA,1,0,1,Aedes,Aedes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL03-G011,FIL03,plantations,1,Rainy,12.1797277,106.9173715,15/10/2019 11:23,25.5,32.4,66.9,No,Sunny,See remarks,2,2,4,VerySmall,Natural containers,Bamboo holes,NA,NA,No,None,None,No,No,No,No,Shallow,Abrupt,Little,No,None,None,No,No,No,No,No,Transparent,Complete,No,Yes,No,No,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Three samples: A B and C from three bamboo holes very close to each other   A: 2 cm diameter  B: 3cm diameter  C: 5.5 cm diameter,1,0,1,NA,Armigeres,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G041,V06,village,4,Rainy,12.1809882,106.874924,07/08/2020 10:31,27.7,32.3,78.9,Little,Cloudy,70*40,70,40,2800,Medium,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,Plastic,Plastic,Yes,No,No,No,No,Grey,Partial,Yes,No,No,No,No,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,25;50,Yes,Other,Coleoptera,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Few,NA,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH03-G002,FIH03,fields,1,Rainy,12.1764722,106.872376,01/11/2019 15:08,31.5,30.8,66.3,No,Sunny,46*NA,46,10000,460000,VeryLarge,Stagnant temporary water bodies,Rice paddies,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Shallow,None,Yes,Plastic,Plastic,Yes,No,No,No,No,Transparent,Partial,No,No,Yes,No,NA,NA,NA,NA,NA,NA,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Other,Fish,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,None,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V05-G007,V05,village,1,Rainy,12.1881509,106.8422019,29/10/2019 09:30,24.8,28.9,67.1,Medium,Sunny,700*120,700,120,84000,Large,Stagnant temporary water bodies,Drain without running water,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,Wood,Shallow,Shallow,High,No,None,None,No,No,No,No,No,Brown,Complete,Yes,No,No,No,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,Yes,Other,Fish,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Crab,No,15 dips without any other predator or mosquito larvae. Only something looking like shrimps,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL01-G003,PL01,plantations,2,Dry,12.1832497,106.7728575,05/02/2020 16:16,29.4,34.5,34.2,Medium,Sunny,280*2700,280,2700,756000,VeryLarge,(Semi)-permanent natural water bodies,Ponds,NA,NA,Yes,Mud,Mud-rocks,No,Yes,Yes,No,Deep,Shallow,High,No,None,None,No,No,No,No,No,Brown,None,No,No,Yes,No,No,No,No,No,Yes,No,No,None,None,No,No,No,No,NA,Yes,Other,Fish,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Few,Was a stream now is separated ponds. Full sun exposure,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH03-G040,FIH03,fields,4,Rainy,12.176218,106.8710437,31/07/2020 13:43,27.6,27.1,99.9,Little,Rainy,250*200,250,200,50000,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Deep,Shallow,Medium,Yes,AnimalFaeces,AnimalFaeces,No,No,No,Yes,No,Grey,None,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Other,Hemiptera,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,NA,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G055,V06,village,4,Rainy,12.1804194,106.8734768,08/08/2020 12:26,34.1,32,NA,Little,Cloudy,70*NA,70,10000,700000,VeryLarge,Running water,Streams,Yes,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,Multiple,Plastic-AnimalFaeces,Yes,No,No,Yes,No,Grey,Partial,Yes,No,No,No,No,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Other,Hemiptera,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Out of site,1,0,1,Culex,Culex,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
FIH03-G017,FIH03,fields,1,Rainy,12.175878,106.8719255,01/11/2019 17:04,30,32.3,68.1,No,Sunny,840*300,840,300,252000,Large,(Semi)-permanent natural water bodies,Ponds,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Abrupt,High,No,None,None,No,No,No,No,No,Brown,Partial,No,No,Yes,No,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,Yes,Other,Hemiptera,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Smell dung around. Small L1,1,0,1,Culex,Culex,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0
FIH03-G006,FIH03,fields,1,Rainy,12.1762846,106.8717539,01/11/2019 16:45,33.2,33.2,66.1,No,Sunny,260*190,260,190,49400,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Deep,Abrupt,High,No,None,None,No,No,No,No,No,Green,None,No,No,Yes,No,NA,NA,NA,NA,NA,NA,Yes,Algae,Algae,No,No,No,Yes,75;100,Yes,Multiple,Multiple,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Buffalo pond very green with bubbles,1,0,1,Culex,Culex,0,0,1,0,0,1,3,1,0,1,0,0,0,0,0,0,0,1,0
FIH03-G016,FIH03,fields,1,Rainy,12.1756767,106.8719034,01/11/2019 16:49,30.8,33.2,68.4,No,Sunny,390*180,390,180,70200,Large,(Semi)-permanent natural water bodies,Ponds,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,High,No,None,None,No,No,No,No,No,Brown,Partial,No,No,Yes,No,NA,NA,NA,NA,NA,NA,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Multiple,Multiple,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Few predators,1,0,1,Culex,Culex,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,1,1,0
FIH03-G066,FIH03,fields,4,Rainy,12.1765329,106.8718352,31/07/2020 11:26,28.1,29.4,97.1,No,Rainy,236*179,236,179,42244,Large,Stagnant temporary water bodies,Rice paddies,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Deep,Shallow,High,No,None,None,No,No,No,No,No,Brown,None,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Multiple,Multiple,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,NA,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH03-G004,FIH03,fields,1,Rainy,12.1763516,106.8721077,01/11/2019 15:45,35.8,35.1,63.7,No,Sunny,300*1100,300,1100,330000,Large,Stagnant temporary water bodies,Rice paddies,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Shallow,None,Yes,Oil,Oil,No,No,Yes,No,No,Brown,Partial,No,No,Yes,No,NA,NA,NA,NA,NA,NA,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Multiple,Multiple,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,"Crab, shrimp",No,None,1,0,1,Culex,Culex,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0
V05-G035,V05,village,4,Rainy,12.1886571,106.8431463,10/08/2020 09:47,33.2,32.1,NA,Medium,Cloudy,610*300,610,300,183000,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Shallow,Little,Yes,Plastic,Plastic,Yes,No,No,No,No,Brown,Partial,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,25;50,Yes,Multiple,Multiple,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,NA,1,0,1,Culex,Culex,0,0,1,0,0,1,4,0,0,1,0,0,0,0,0,1,1,0,1
V05-G060,V05,village,4,Rainy,12.1882248,106.8423791,10/08/2020 08:49,28.4,34.1,73.3,Little,Sunny,190*2450,190,2450,465500,VeryLarge,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,High,Yes,Plastic,Plastic,Yes,No,No,No,No,Brown,Partial,Yes,No,No,No,No,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,25;50,Yes,Multiple,Multiple,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Few,NA,1,0,1,Culex,Culex,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0
V06-G050,V06,village,4,Rainy,12.1807585,106.8734674,08/08/2020 10:19,30.7,32.9,NA,Little,Cloudy,290*200,290,200,58000,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Leaves,Leaves,Yes,No,No,No,Deep,Shallow,Medium,Yes,Multiple,Plastic-AnimalFaeces,Yes,No,No,Yes,No,Brown,None,Yes,No,No,No,No,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Multiple,Multiple,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Out of site,1,0,1,Culex,Culex,0,0,1,0,0,1,5,0,0,1,0,0,0,0,0,1,1,1,1
V06-G042,V06,village,4,Rainy,12.1810014,106.8749428,07/08/2020 10:45,29,30.9,70.6,Medium,Cloudy,400*NA,400,10000,4000000,VeryLarge,Running water,Streams,Yes,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,Multiple,Plastic-AnimalFaeces,Yes,Yes,No,Yes,No,Grey,None,Yes,No,No,No,No,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Multiple,Multiple,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Few,NA,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G044,V06,village,4,Rainy,12.180687,106.8733379,07/08/2020 11:19,30.1,29.9,75.2,Medium,Cloudy,800*400,800,400,320000,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,Multiple,Plastic-AnimalFaeces,Yes,No,No,Yes,No,Brown,Partial,Yes,No,No,No,No,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,25;50,Yes,Multiple,Multiple,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Out of site,1,0,1,Culex,Culex,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,1
