ID,COUNTRY_NAME,ISO2,ADMIN1,ADMIN2,SITE_NAME,SITE_CODE,LATITUDE,LONGITUDE,TEST_TYPE,INSECTICIDE_CLASS,INSECTICIDE_CONC,INSECTICIDE_INTENSITY,INSECTICIDE_TYPE,YEAR_START,VECTOR_SPECIES,STAGE_ORIGIN,MOSQUITO_NUMBER,TIME_HOLDING_POSTEXPOSURE,MORTALITY_ADJUSTED,RESISTANCE_INTENSITY,DATA_SOURCE,CITATION,CITATION_URL,DATA_CURATOR
IR000011822,Peru,PE,Tumbes,Tumbes,Puerto Pizarro,IRPE9,-3.503706,-80.390916,"CDC bottle bioassay, adults",Organophosphates,50µg,1,Malathion,2013,An. albimanus,NR,64,undefined,50,N/A,N/A,"Liebman et al. (2015) Novel mutations on the ace-1 gene of the malaria vector Anopheles albimanus provide evidence for balancing selection in an area of high insecticide resistance in Peru.. Malar J. 2015 Feb 14,14:74",https://www.ncbi.nlm.nih.gov/pubmed/25889700,World Health Organization
IR000011825,Peru,PE,Tumbes,Tumbes,Puerto Pizarro,IRPE9,-3.503706,-80.390916,"CDC bottle bioassay, adults",Organophosphates,250µg,5,Fenitrothion,2013,An. albimanus,NR,82,undefined,32,Moderate to high intensity,N/A,"Liebman et al. (2015) Novel mutations on the ace-1 gene of the malaria vector Anopheles albimanus provide evidence for balancing selection in an area of high insecticide resistance in Peru.. Malar J. 2015 Feb 14,14:74",https://www.ncbi.nlm.nih.gov/pubmed/25889700,World Health Organization
IR000011826,Peru,PE,Tumbes,Tumbes,Puerto Pizarro,IRPE9,-3.503706,-80.390916,"CDC bottle bioassay, adults",Organophosphates,500µg,10,Fenitrothion,2013,An. albimanus,NR,67,undefined,82,High intensity,N/A,"Liebman et al. (2015) Novel mutations on the ace-1 gene of the malaria vector Anopheles albimanus provide evidence for balancing selection in an area of high insecticide resistance in Peru.. Malar J. 2015 Feb 14,14:74",https://www.ncbi.nlm.nih.gov/pubmed/25889700,World Health Organization
IR000011830,Peru,PE,Tumbes,Tumbes,Puerto Pizarro,IRPE9,-3.503706,-80.390916,"CDC bottle bioassay, adults",Organophosphates,500µg,10,Malathion,2013,An. albimanus,NR,55,undefined,86,High intensity,N/A,"Liebman et al. (2015) Novel mutations on the ace-1 gene of the malaria vector Anopheles albimanus provide evidence for balancing selection in an area of high insecticide resistance in Peru.. Malar J. 2015 Feb 14,14:74",https://www.ncbi.nlm.nih.gov/pubmed/25889700,World Health Organization
IR000011821,Peru,PE,Tumbes,Tumbes,Puerto Pizarro,IRPE9,-3.503706,-80.390916,"CDC bottle bioassay, adults",Organophosphates,50µg,1,Fenitrothion,2013,An. albimanus,NR,58,undefined,37.5,N/A,N/A,"Liebman et al. (2015) Novel mutations on the ace-1 gene of the malaria vector Anopheles albimanus provide evidence for balancing selection in an area of high insecticide resistance in Peru.. Malar J. 2015 Feb 14,14:74",https://www.ncbi.nlm.nih.gov/pubmed/25889700,World Health Organization
IR000016136,Burkina Faso,BF,Banfora,Banfora,Tiefora,IRBF58,10.624117,-4.55335,"CDC bottle bioassay, adults",Pyrethroids,107.5µg,5,Permethrin,2014,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),107,undefined,91,Moderate to high intensity,N/A,"Bagi et al. (2015) When a discriminating dose assay is not enough: measuring the intensity of insecticide resistance in malaria vectors.. Malar J. 2015 May 20,14:210",https://www.ncbi.nlm.nih.gov/pubmed/25985896,World Health Organization
IR000017951,India,IN,Gujarat,Surendranagar,Gedia,IRIN72,23.3241,71.8304,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2015,An. culicifacies s.l.,F0_ADULTS_(WILD_COLLECTED),15,undefined,93.3,Moderate to high intensity,RDD office Ahmedabad,RDD office Ahmedabad,NA,World Health Organization
IR000018211,India,IN,Gujarat,Chhotaudepur,Jamala,IRIN79,22.349,74.032,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2015,An. culicifacies s.l.,F0_ADULTS_(WILD_COLLECTED),30,undefined,96.7,Moderate to high intensity,RDD office Vadodara,RDD office Vadodara,NA,World Health Organization
IR000020329,Uganda,UG,Bukedi,Tororo,Tororo,IRUG103,0.678227,34.186567,"CDC bottle bioassay, adults",Pyrethroids,215µg,10,Permethrin,2015,An. gambiae s.l.,NR,25,undefined,14.3,High intensity,N/A,Okia et al. (2018) Insecticide resistance status of the malaria mosquitoes: Anopheles gambiae and Anopheles funestus in eastern and northern Uganda.. Malar J.17(1):157,https://www.ncbi.nlm.nih.gov/pubmed/29625585,World Health Organization
IR000016768,India,IN,Gujarat,Kheda,Arandiyapuraa,IRIN5,22.7417,72.8723,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2015,An. culicifacies s.l.,F0_ADULTS_(WILD_COLLECTED),30,undefined,96.7,Moderate to high intensity,RDD office Ahmedabad,RDD office Ahmedabad,NA,World Health Organization
IR000019995,India,IN,Gujarat,Panchmahals,Sajora,IRIN191,22.801118,73.559413,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2015,An. culicifacies s.l.,F0_ADULTS_(WILD_COLLECTED),28,undefined,96.4,Moderate to high intensity,RDD office Vadodara,RDD office Vadodara,NA,World Health Organization
IR000021250,Bangladesh,BD,Chittagong,Cox's Bazar,Pacherdeep,IRBD6,21.427653,91.978016,WHO tube test,Pyrethroids,0.05%,1,Alpha-cypermethrin,2017,An. vagus,UNDEFINED,200,undefined,59.3,N/A,National Malaria Elimination Programme,National Malaria Elimination Programme,NA,World Health Organization
IR000021258,Bangladesh,BD,Chittagong,Cox's Bazar,Pacherdeep,IRBD6,21.427653,91.978016,WHO tube test,Pyrethroids,0.75%,1,Permethrin,2017,An. vagus,UNDEFINED,100,undefined,45,N/A,National Malaria Elimination Program,National Malaria Elimination Program,NA,World Health Organization
IR000020328,Uganda,UG,Bukedi,Tororo,Tororo,IRUG103,0.678227,34.186567,"CDC bottle bioassay, adults",Pyrethroids,107.5µg,5,Permethrin,2015,An. gambiae s.l.,NR,25,undefined,19.2,Moderate to high intensity,N/A,Okia et al. (2018) Insecticide resistance status of the malaria mosquitoes: Anopheles gambiae and Anopheles funestus in eastern and northern Uganda.. Malar J.17(1):157,https://www.ncbi.nlm.nih.gov/pubmed/29625585,World Health Organization
IR000021347,Cabo Verde,CV,Santiago,Praia,Varzea,IRCV1,14.917979,-23.51196,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),97,undefined,99,Low intensity,World Health Organization,World Health Organization,NA,World Health Organization
IR000021325,Bangladesh,BD,Chittagong,Bandarban,Shilertoya,IRBD9,21.72055,92.228553,WHO tube test,Carbamates,0.50%,5,Bendiocarb,2017,An. willmori,UNDEFINED,20,undefined,94.7,Moderate to high intensity,National Malaria Elimination Program,National Malaria Elimination Program,NA,World Health Organization
IR000022140,India,IN,Gujarat,Narmada,Gabhana,IRIN65,21.906,73.6778,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2016,An. culicifacies s.l.,F0_ADULTS_(WILD_COLLECTED),30,undefined,96.7,Moderate to high intensity,RDD Office Vadodara,RDD Office Vadodara,NA,World Health Organization
IR000022430,India,IN,Gujarat,Dahod,Khilodi,IRIN115,22.7102,73.7684,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2016,An. culicifacies s.l.,F0_ADULTS_(WILD_COLLECTED),36,undefined,92,Moderate to high intensity,RDD Office Vadodara,RDD Office Vadodara,NA,World Health Organization
IR000021256,Bangladesh,BD,Chittagong,Cox's Bazar,Pacherdeep,IRBD6,21.427653,91.978016,WHO tube test,Pyrethroids,3.75%,5,Permethrin,2017,An. vagus,UNDEFINED,50,undefined,78,Moderate to high intensity,National Malaria Elimination Program,National Malaria Elimination Program,NA,World Health Organization
IR000016134,Burkina Faso,BF,Banfora,Banfora,Tiefora,IRBF58,10.624117,-4.55335,"CDC bottle bioassay, adults",Pyrethroids,21.5µg,1,Permethrin,2014,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),98,undefined,33,N/A,N/A,"Bagi et al. (2015) When a discriminating dose assay is not enough: measuring the intensity of insecticide resistance in malaria vectors.. Malar J. 2015 May 20,14:210",https://www.ncbi.nlm.nih.gov/pubmed/25985896,World Health Organization
IR000021255,Bangladesh,BD,Chittagong,Cox's Bazar,Pacherdeep,IRBD6,21.427653,91.978016,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2017,An. vagus,UNDEFINED,100,undefined,52,Moderate to high intensity,National Malaria Elimination Program,National Malaria Elimination Program,NA,World Health Organization
IR000021348,Cabo Verde,CV,Santiago,Praia,Varzea,IRCV1,14.917979,-23.51196,WHO tube test,Pyrethroids,0.50%,5,Deltamethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),98,undefined,100,Low intensity,World Health Organization,World Health Organization,NA,World Health Organization
IR000020323,Uganda,UG,Bukedi,Tororo,Tororo,IRUG103,0.678227,34.186567,"CDC bottle bioassay, adults",Pyrethroids,21.5µg,1,Permethrin,2015,An. gambiae s.l.,F0_ADULTS_(WILD_COLLECTED),147,undefined,67.3,N/A,N/A,Okia et al. (2018) Insecticide resistance status of the malaria mosquitoes: Anopheles gambiae and Anopheles funestus in eastern and northern Uganda.. Malar J.17(1):157,https://www.ncbi.nlm.nih.gov/pubmed/29625585,World Health Organization
IR000023384,India,IN,Gujarat,Chhotaudepur,Piplej,IRIN170,22.308,74.012,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2016,An. culicifacies s.l.,F0_ADULTS_(WILD_COLLECTED),30,undefined,93.3,Moderate to high intensity,RDD Office Vadodara,RDD Office Vadodara,NA,World Health Organization
IR000021323,Bangladesh,BD,Chittagong,Bandarban,Shilertoya,IRBD9,21.72055,92.228553,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2017,An. vagus,UNDEFINED,40,undefined,57.5,Moderate to high intensity,National Malaria Elimination Program,National Malaria Elimination Program,NA,World Health Organization
IR000017554,India,IN,Gujarat,Surendranagar,Dhangadhra City,IRIN57,23.0313,71.5384,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2015,An. stephensi,F0_ADULTS_(WILD_COLLECTED),20,undefined,85,Moderate to high intensity,RDD office Ahmedabad,RDD office Ahmedabad,NA,World Health Organization
IR000022141,India,IN,Gujarat,Narmada,Gabhana,IRIN65,21.906,73.6778,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2016,An. culicifacies s.l.,F0_ADULTS_(WILD_COLLECTED),30,undefined,90,Moderate to high intensity,RDD Office Vadodara,RDD Office Vadodara,NA,World Health Organization
IR000022142,India,IN,Gujarat,Narmada,Gabhana,IRIN65,21.906,73.6778,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2016,An. culicifacies s.l.,F0_ADULTS_(WILD_COLLECTED),30,undefined,56.7,Moderate to high intensity,RDD Office Vadodara,RDD Office Vadodara,NA,World Health Organization
IR000017907,India,IN,Gujarat,Narmada,Gabhana,IRIN65,21.906,73.6778,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2015,An. culicifacies s.l.,F0_ADULTS_(WILD_COLLECTED),30,undefined,96.7,Moderate to high intensity,RDD office Vadodara,RDD office Vadodara,NA,World Health Organization
IR000017908,India,IN,Gujarat,Narmada,Gabhana,IRIN65,21.906,73.6778,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2015,An. culicifacies s.l.,F0_ADULTS_(WILD_COLLECTED),30,undefined,90,Moderate to high intensity,RDD office Vadodara,RDD office Vadodara,NA,World Health Organization
IR000020330,Uganda,UG,Bukedi,Tororo,Tororo,IRUG103,0.678227,34.186567,"CDC bottle bioassay, adults",Pyrethroids,62.5µg,5,Deltamethrin,2015,An. gambiae s.l.,NR,25,undefined,8.3,Moderate to high intensity,N/A,Okia et al. (2018) Insecticide resistance status of the malaria mosquitoes: Anopheles gambiae and Anopheles funestus in eastern and northern Uganda.. Malar J.17(1):157,https://www.ncbi.nlm.nih.gov/pubmed/29625585,World Health Organization
IR000020331,Uganda,UG,Bukedi,Tororo,Tororo,IRUG103,0.678227,34.186567,"CDC bottle bioassay, adults",Pyrethroids,125µg,10,Deltamethrin,2015,An. gambiae s.l.,NR,25,undefined,0,High intensity,N/A,Okia et al. (2018) Insecticide resistance status of the malaria mosquitoes: Anopheles gambiae and Anopheles funestus in eastern and northern Uganda.. Malar J.17(1):157,https://www.ncbi.nlm.nih.gov/pubmed/29625585,World Health Organization
IR000023385,India,IN,Gujarat,Panchmahals,Sajora,IRIN191,22.801118,73.559413,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2016,An. culicifacies s.l.,F0_ADULTS_(WILD_COLLECTED),30,undefined,90,Moderate to high intensity,RDD Office Vadodara,RDD Office Vadodara,NA,World Health Organization
IR000019327,India,IN,Gujarat,Vadodara,Nada Vasahat,IRIN146,22.1323,73.4121,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2015,An. culicifacies s.l.,F0_ADULTS_(WILD_COLLECTED),40,undefined,96.3,Moderate to high intensity,RDD office Vadodara,RDD office Vadodara,NA,World Health Organization
IR000021253,Bangladesh,BD,Chittagong,Cox's Bazar,Pacherdeep,IRBD6,21.427653,91.978016,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2017,An. vagus,UNDEFINED,100,undefined,85,Moderate to high intensity,National Malaria Elimination Program,National Malaria Elimination Program,NA,World Health Organization
IR000021254,Bangladesh,BD,Chittagong,Cox's Bazar,Pacherdeep,IRBD6,21.427653,91.978016,WHO tube test,Pyrethroids,0.50%,10,Alpha-cypermethrin,2017,An. vagus,UNDEFINED,100,undefined,73,High intensity,National Malaria Elimination Program,National Malaria Elimination Program,NA,World Health Organization
IR000021257,Bangladesh,BD,Chittagong,Cox's Bazar,Pacherdeep,IRBD6,21.427653,91.978016,WHO tube test,Carbamates,0.50%,5,Bendiocarb,2017,An. vagus,UNDEFINED,50,undefined,69,Moderate to high intensity,National Malaria Elimination Program,National Malaria Elimination Program,NA,World Health Organization
IR000019997,India,IN,Gujarat,Panchmahals,Sajora,IRIN191,22.801118,73.559413,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2015,An. culicifacies s.l.,F0_ADULTS_(WILD_COLLECTED),30,undefined,93.3,Moderate to high intensity,RDD office Vadodara,RDD office Vadodara,NA,World Health Organization
IR000020322,Uganda,UG,Bukedi,Tororo,Tororo,IRUG103,0.678227,34.186567,"CDC bottle bioassay, adults",Pyrethroids,12.5µg,1,Deltamethrin,2015,An. gambiae s.l.,F0_ADULTS_(WILD_COLLECTED),136,undefined,81.6,N/A,N/A,Okia et al. (2018) Insecticide resistance status of the malaria mosquitoes: Anopheles gambiae and Anopheles funestus in eastern and northern Uganda.. Malar J.17(1):157,https://www.ncbi.nlm.nih.gov/pubmed/29625585,World Health Organization
IR000020389,India,IN,Gujarat,Vadodara,Uplet,IRIN220,22.7783,73.2617,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2015,An. culicifacies s.l.,F0_ADULTS_(WILD_COLLECTED),20,undefined,80,Moderate to high intensity,RDD office Ahmedabad,RDD office Ahmedabad,NA,World Health Organization
IR000021324,Bangladesh,BD,Chittagong,Bandarban,Shilertoya,IRBD9,21.72055,92.228553,WHO tube test,Pyrethroids,0.50%,10,Alpha-cypermethrin,2017,An. willmori,UNDEFINED,20,undefined,100,Low intensity,National Malaria Elimination Program,National Malaria Elimination Program,NA,World Health Organization
IR000026803,Yemen,YE,Dhamar,Wisab Alsafil,Kabat ASharif,IRYE24,14.370018,43.511675,WHO tube test,Pyrethroids,0.05%,1,Lambda-cyhalothrin,2017,An. arabiensis,F0_ADULTS_(FROM_WILD_LARVAE),114,undefined,87.7,N/A,National Malaria Programme,National Malaria Programme,NA,World Health Organization
IR000026821,Gabon,GA,Ngounie,Fougamou,Mboukou,IRGA7,-1.716667,10.8,WHO tube test,Pyrethroids,0.05%,1,Deltamethrin,2017,An. gambiae s.s.,F0_ADULTS_(FROM_WILD_LARVAE),50,undefined,86,N/A,Olam- PNLF -LEV -IRET - USTM -Universite de Lome -WHO -University d'Abomay Calavi,Olam- PNLF -LEV -IRET - USTM -Universite de Lome -WHO -University d'Abomay Calavi,NA,World Health Organization
IR000026822,Gabon,GA,Ngounie,Fougamou,Mboukou,IRGA7,-1.716667,10.8,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2017,An. gambiae s.s.,F0_ADULTS_(FROM_WILD_LARVAE),50,undefined,100,Low intensity,Olam- PNLF -LEV -IRET - USTM -Universite de Lome -WHO -University d'Abomay Calavi,Olam- PNLF -LEV -IRET - USTM -Universite de Lome -WHO -University d'Abomay Calavi,NA,World Health Organization
IR000021853,India,IN,Gujarat,Dahod,Chakaliya,IRIN32,23.0514,74.3001,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2016,An. culicifacies s.l.,F0_ADULTS_(WILD_COLLECTED),40,undefined,97.5,Moderate to high intensity,RDD Office Vadodara,RDD Office Vadodara,NA,World Health Organization
IR000026805,Yemen,YE,Ibb,Fara Aludain,Asfal Hiran,IRYE18,13.918,43.7309,WHO tube test,Pyrethroids,0.05%,1,Lambda-cyhalothrin,2017,An. arabiensis,F0_ADULTS_(FROM_WILD_LARVAE),41,undefined,47.1,N/A,National Malaria Programme,National Malaria Programme,NA,World Health Organization
IR000026810,Yemen,YE,Hajjah,Gufl Shamr,Al Meashash,IRYE6,15.93817,43.31284,WHO tube test,Pyrethroids,0.25%,5,Lambda-cyhalothrin,2018,An. arabiensis,F0_ADULTS_(FROM_WILD_LARVAE),106,undefined,97.2,Moderate to high intensity,National Malaria Programme,National Malaria Programme,NA,World Health Organization
IR000026818,Gabon,GA,Ngounie,Fougamou,Mboukou,IRGA7,-1.716667,10.8,WHO tube test,Pyrethroids,3.75%,5,Permethrin,2017,An. gambiae s.s.,F0_ADULTS_(FROM_WILD_LARVAE),50,undefined,100,Low intensity,Olam- PNLF -LEV -IRET - USTM -Universite de Lome -WHO -University d'Abomay Calavi,Olam- PNLF -LEV -IRET - USTM -Universite de Lome -WHO -University d'Abomay Calavi,NA,World Health Organization
IR000026825,Gabon,GA,Ngounie,Fougamou,Mboukou,IRGA7,-1.716667,10.8,WHO tube test,Pyrethroids,0.05%,1,Lambda-cyhalothrin,2017,An. gambiae s.s.,F0_ADULTS_(FROM_WILD_LARVAE),50,undefined,28,N/A,Olam- PNLF -LEV -IRET - USTM -Universite de Lome -WHO -University d'Abomay Calavi,Olam- PNLF -LEV -IRET - USTM -Universite de Lome -WHO -University d'Abomay Calavi,NA,World Health Organization
IR000026865,Gabon,GA,Ngounie,Fougamou,Mboukou,IRGA7,-1.716667,10.8,WHO tube test,Pyrethroids,0.50%,10,Alpha-cypermethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),50,undefined,78,High intensity,Olam- PNLF -LEV -IRET - USTM -Universite de Lome -WHO -University d'Abomay Calavi,Olam- PNLF -LEV -IRET - USTM -Universite de Lome -WHO -University d'Abomay Calavi,NA,World Health Organization
IR000027577,Congo,CG,Brazzaville,Ouenze,Brazzaville,IRCG2,-4.26777,15.27527,WHO tube test,Pyrethroids,0.50%,5,Deltamethrin,2018,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,90,High intensity,Ministry of Health,Ministry of Health,NA,World Health Organization
IR000027593,Congo,CG,Brazzaville,Ouenze,Brazzaville,IRCG2,-4.26777,15.27527,WHO tube test,Pyrethroids,0.05%,1,Deltamethrin,2018,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),75,undefined,78.6,N/A,Ministry of Health,Ministry of Health,NA,World Health Organization
IR000027606,Congo,CG,Pool,Kintélé,Kintele,IRCG7,-4.15,15.342222,WHO tube test,Pyrethroids,0.50%,5,Deltamethrin,2017,An. gambiae s.l.,UNDEFINED,100,undefined,100,Could not be reliably assessed,Ministry of Health,Ministry of Health,NA,World Health Organization
IR000026804,Yemen,YE,Dhamar,Wisab Alsafil,Kabat ASharif,IRYE24,14.370018,43.511675,WHO tube test,Pyrethroids,0.25%,5,Lambda-cyhalothrin,2017,An. arabiensis,F0_ADULTS_(FROM_WILD_LARVAE),147,undefined,100,Low intensity,National Malaria Programme,National Malaria Programme,NA,World Health Organization
IR000026806,Yemen,YE,Ibb,Fara Aludain,Asfal Hiran,IRYE18,13.918,43.7309,WHO tube test,Pyrethroids,0.25%,5,Lambda-cyhalothrin,2017,An. arabiensis,F0_ADULTS_(FROM_WILD_LARVAE),107,undefined,100,Low intensity,National Malaria Programme,National Malaria Programme,NA,World Health Organization
IR000026817,Gabon,GA,Ngounie,Fougamou,Mboukou,IRGA7,-1.716667,10.8,WHO tube test,Pyrethroids,0.75%,1,Permethrin,2017,An. gambiae s.s.,F0_ADULTS_(FROM_WILD_LARVAE),50,undefined,12,N/A,Olam- PNLF -LEV -IRET - USTM -Universite de Lome -WHO -University d'Abomay Calavi,Olam- PNLF -LEV -IRET - USTM -Universite de Lome -WHO -University d'Abomay Calavi,NA,World Health Organization
IR000026826,Gabon,GA,Ngounie,Fougamou,Mboukou,IRGA7,-1.716667,10.8,WHO tube test,Pyrethroids,0.25%,5,Lambda-cyhalothrin,2017,An. gambiae s.s.,F0_ADULTS_(FROM_WILD_LARVAE),50,undefined,100,Low intensity,Olam- PNLF -LEV -IRET - USTM -Universite de Lome -WHO -University d'Abomay Calavi,Olam- PNLF -LEV -IRET - USTM -Universite de Lome -WHO -University d'Abomay Calavi,NA,World Health Organization
IR000027906,Nigeria,NG,Anambra,Awka North,Achalla,IRNG1,6.336747,6.988033,WHO tube test,Pyrethroids,0.75%,1,Permethrin,2016,An. gambiae s.l.,F0_ADULTS_(WILD_COLLECTED),100,undefined,80,N/A,Nigerian Institute of Medical Research,"Awolola et al. (2018) Pyrethroids resistance intensity and resistance mechanisms in Anopheles gambiae from malaria vector surveillance sites in Nigeria. PLoS One. 2018 Dec 5,13(12):e0205230",https://www.ncbi.nlm.nih.gov/pubmed/30517090,World Health Organization
IR000027907,Nigeria,NG,Anambra,Awka North,Achalla,IRNG1,6.336747,6.988033,WHO tube test,Pyrethroids,3.75%,5,Permethrin,2016,An. gambiae s.l.,F0_ADULTS_(WILD_COLLECTED),100,undefined,99,Low intensity,Nigerian Institute of Medical Research,"Awolola et al. (2018) Pyrethroids resistance intensity and resistance mechanisms in Anopheles gambiae from malaria vector surveillance sites in Nigeria. PLoS One. 2018 Dec 5,13(12):e0205230",https://www.ncbi.nlm.nih.gov/pubmed/30517090,World Health Organization
